c1,c2,c3,c4,n
-0.54023802280426025,0.0050801178440451622,0.84149694442749023,-0.72590959072113037,91047.0
-0.54024916887283325,0.0070447726175189018,0.84147560596466064,-0.72589790821075439,91107.0
-0.53752416372299194,0.01160785648971796,0.84316843748092651,-0.72603529691696167,91554.0
-0.53921079635620117,0.0082775652408599854,0.84213018417358398,-0.72588193416595459,91276.0
-0.54076069593429565,0.014794468879699707,0.84104633331298828,-0.72557640075683594,91646.0
-0.54165750741958618,0.015319965779781342,0.84045964479446411,-0.72525584697723389,91731.0
-0.54000097513198853,0.010732311755418777,0.84159594774246216,-0.72574734687805176,91414.0
-0.54100918769836426,0.010991473682224751,0.84094488620758057,-0.72559678554534912,91282.0
-0.538055419921875,0.012437630444765091,0.84281766414642334,-0.72585254907608032,91617.0
-0.54032117128372192,0.0091164633631706238,0.84140956401824951,-0.72585737705230713,91260.0
-0.5389363169670105,0.013842320069670677,0.84223276376724243,-0.72555315494537354,91670.0
-0.54082506895065308,0.0099695250391960144,0.84107595682144165,-0.7257731556892395,90917.0
-0.5397953987121582,0.0068495608866214752,0.84176838397979736,-0.72579026222229004,91024.0
-0.53984326124191284,0.0077366768382489681,0.84172999858856201,-0.72584450244903564,91012.0
-0.54042309522628784,0.013157554902136326,0.84129047393798828,-0.72553539276123047,91347.0
-0.53710353374481201,0.034690052270889282,0.84280270338058472,-0.72526419162750244,91877.0
-0.53767889738082886,-0.0031962376087903976,0.84314364194869995,-0.72657132148742676,90409.0
-0.53987634181976318,0.010706987231969833,0.84167623519897461,-0.72566241025924683,91169.0
-0.54015588760375977,0.010638856329023838,0.84149771928787231,-0.72580504417419434,91042.0
-0.54013335704803467,0.0065701939165592194,0.84155380725860596,-0.72587400674819946,90762.0
-0.54047578573226929,0.0037313834764063358,0.8413512110710144,-0.72586941719055176,87693.0
-0.54082560539245605,0.0063279261812567711,0.8411109447479248,-0.72564029693603516,87843.0
-0.52900528907775879,0.014336272142827511,0.84849745035171509,-0.72629964351654053,84180.0
-0.54054176807403564,0.0097635891288518906,0.84126055240631104,-0.7256891131401062,88050.0
-0.54095965623855591,0.0053324596956372261,0.84103167057037354,-0.72558039426803589,87846.0
-0.53969109058380127,0.0085289087146520615,0.84181994199752808,-0.72572535276412964,87956.0
-0.54096472263336182,0.0086299804970622063,0.84100109338760376,-0.72552740573883057,88037.0
-0.54148590564727783,0.0072213821113109589,0.840678870677948,-0.72547668218612671,87842.0
-0.53703451156616211,0.012365211732685566,0.84346961975097656,-0.72589349746704102,88453.0
-0.54009169340133667,0.0077118217013776302,0.84157079458236694,-0.72562193870544434,88026.0
-0.5407988429069519,0.0077472864650189877,0.84111624956130981,-0.7256045937538147,83156.0
-0.54060691595077515,0.0061662048101425171,0.84125274419784546,-0.72575002908706665,83052.0
-0.53923237323760986,0.0042022997513413429,0.84214657545089722,-0.72590386867523193,82991.0
-0.54109388589859009,0.0072326562367379665,0.84093105792999268,-0.72569817304611206,82920.0
-0.54031509160995483,0.0053290496580302715,0.84144586324691772,-0.72577404975891113,83029.0
-0.53997242450714111,0.0067493063397705555,0.84165561199188232,-0.72574806213378906,83172.0
-0.54005247354507446,0.0078151589259505272,0.84159505367279053,-0.72573035955429077,83067.0
-0.54010748863220215,0.010373116470873356,0.84153211116790771,-0.72566747665405273,83452.0
-0.53964978456497192,0.011728974990546703,0.84180790185928345,-0.72579360008239746,83474.0
-0.54057407379150391,0.006982103455811739,0.84126746654510498,-0.72568464279174805,83005.0
-0.53560203313827515,0.016253015026450157,0.8443140983581543,-0.72601997852325439,77472.0
-0.54040801525115967,0.006312826182693243,0.84137940406799316,-0.72575747966766357,77007.0
-0.54068297147750854,0.0067162634804844856,0.84119963645935059,-0.72571843862533569,76893.0
-0.53953087329864502,0.010616293177008629,0.84189891815185547,-0.72578465938568115,77297.0
-0.53669953346252441,0.020295197144150734,0.84352940320968628,-0.72591191530227661,77602.0
-0.54017442464828491,0.017256645485758781,0.84137612581253052,-0.7252611517906189,77218.0
-0.53941905498504639,0.0058060875162482262,0.84201741218566895,-0.72579783201217651,77166.0
-0.54192310571670532,0.0045749340206384659,0.8404155969619751,-0.72510409355163574,76720.0
-0.54037439823150635,0.010982109233736992,0.84135299921035767,-0.72586029767990112,76871.0
-0.54086941480636597,0.0081225614994764328,0.84106743335723877,-0.72575044631958008,76844.0
-0.54109323024749756,0.006612150464206934,0.84093666076660156,-0.72556203603744507,70221.0
-0.54183900356292725,0.0045958464033901691,0.84046977758407593,-0.72522693872451782,69959.0
-0.54213523864746094,0.003948866855353117,0.84028202295303345,-0.72540819644927979,69855.0
-0.54096412658691406,0.0084337461739778519,0.84100341796875,-0.72561728954315186,70045.0
-0.53963029384613037,0.01201219204813242,0.84181636571884155,-0.72568225860595703,70368.0
-0.54139250516891479,0.0052857040427625179,0.84075337648391724,-0.72552663087844849,70011.0
-0.54089999198913574,0.00875119399279356,0.8410414457321167,-0.72558271884918213,70182.0
-0.54022270441055298,0.0071582067757844925,0.84149163961410522,-0.72561186552047729,70290.0
-0.54145336151123047,0.0059454776346683502,0.84070980548858643,-0.72542768716812134,69943.0
-0.54042202234268188,0.0055812187492847443,0.84137558937072754,-0.72566485404968262,70109.0
-0.54167664051055908,0.0057593374513089657,0.84056723117828369,-0.72535616159439087,64462.0
-0.54229730367660522,0.0014972842764109373,0.84018540382385254,-0.72524797916412354,64282.0
-0.54101920127868652,0.0091316848993301392,0.84096056222915649,-0.72547250986099243,64420.0
-0.54089730978012085,0.0030784904956817627,0.84108299016952515,-0.72560042142868042,64378.0
-0.54342848062515259,-0.00060264993226155639,0.83945518732070923,-0.72504502534866333,64182.0
-0.54186487197875977,0.0049125682562589645,0.84045124053955078,-0.72542732954025269,64356.0
-0.54107582569122314,0.0060002608224749565,0.84095239639282227,-0.72549355030059814,64514.0
-0.53701239824295044,0.00021564625785686076,0.84357434511184692,-0.72609150409698486,64494.0
-0.54145801067352295,0.0050005801022052765,0.84071296453475952,-0.7255205512046814,64380.0
-0.54176253080368042,0.0038805252406746149,0.8405226469039917,-0.72550314664840698,64331.0
