u1,v1,u2,v2,u3,v3,u4,v4
1.6900975592023877,0.7806294453359155,1.6900975592023877,-0.65123645363912253,-1.7182635740916696,-0.65123645363912253,-1.7182635740916696,0.7806294453359155
1.5325976003179367,0.62753246132857854,1.5325976003179367,-0.51995403502963866,-1.5646029255282885,-0.51995403502963866,-1.5646029255282885,0.62753246132857909
1.3933491100993882,0.5232648316417654,1.3933491100993882,-0.43190591182166954,-1.4276578181916253,-0.43190591182166954,-1.4276578181916253,0.5232648316417654
1.2712856676629614,0.44811838054680481,1.2712856676629614,-0.36901682249064593,-1.3066979301427881,-0.36901682249064593,-1.3066979301427881,0.44811838054680481
1.1647038427489163,0.39155998742479997,1.1647038427489163,-0.3219514948121498,-1.2003484576936223,-0.3219514948121498,-1.2003484576936223,0.39155998742479903
1.0716930519543502,0.34752797168534055,1.0716930519543502,-0.28544873585900593,-1.1069734808617797,-0.28544873585900593,-1.1069734808617797,0.34752797168533944
0.99038819466239725,0.31231278128097512,0.99038819466239725,-0.25633257238484686,-1.0249177777475624,-0.25633257238484686,-1.0249177777475624,0.31231278128097512
0.91909345788368724,0.28352667314290442,0.91909345788368724,-0.2325778740106845,-0.95263708702019301,-0.2325778740106845,-0.95263708702019301,0.28352667314290442
0.85632704576602336,0.25956717328746109,0.85632704576602336,-0.2128346841976789,-0.8887548915832596,-0.2128346841976789,-0.8887548915832596,0.25956717328745965
0.80082322800221339,0.23932062996374101,0.80082322800221339,-0.19616953619901858,-0.8320764683386046,-0.19616953619901858,-0.8320764683386046,0.23932062996374101
0.75151435246158316,0.22198993615954002,0.75151435246158316,-0.18191684384197043,-0.78158080811897201,-0.18191684384197043,-0.78158080811897201,0.22198993615954002
