a,b,c,d,n
-0.05734221264719963,0.00427479250356555,0.9983454346656799,-0.284152090549469,363.0
-0.057575203478336334,0.002352033741772175,0.9983384013175964,-0.2841498851776123,359.0
-0.057679928839206696,0.003802345599979162,0.998327910900116,-0.284155011177063,361.0
-0.05759529024362564,0.003728588344529271,0.9983330368995667,-0.28416597843170166,363.0
-0.05748617276549339,0.004240306559950113,0.9983372688293457,-0.284148246049881,364.0
-0.05759404972195625,0.003151604672893882,0.9983351230621338,-0.28418996930122375,366.0
-0.057129427790641785,0.003973300568759441,0.9983589053153992,-0.28415101766586304,368.0
-0.05770425871014595,0.003904681885614991,0.9983261227607727,-0.2841637134552002,363.0
-0.05747651681303978,0.0037293038330972195,0.9983398914337158,-0.28415295481681824,363.0
-0.05764583870768547,0.0029036386404186487,0.9983328580856323,-0.28413262963294983,364.0
-0.05753413215279579,0.0023613974917680025,0.9983407258987427,-0.2841586768627167,361.0
-0.057628560811281204,0.003535323776304722,0.9983318448066711,-0.28416600823402405,361.0
-0.0574788898229599,0.004198902752250433,0.9983378648757935,-0.2841534912586212,363.0
-0.05759774520993233,0.003728759940713644,0.9983329176902771,-0.28419339656829834,362.0
-0.05749580264091492,0.003566092113032937,0.9983393549919128,-0.2841639220714569,365.0
-0.0573895201086998,0.0024084574542939663,0.9983489513397217,-0.2841736376285553,366.0
-0.057596612721681595,0.002918243408203125,0.9983356595039368,-0.2841606140136719,368.0
-0.05782123655080795,0.0038747452199459076,0.9983194470405579,-0.28417375683784485,359.0
-0.05769891291856766,0.0032000220380723476,0.9983289241790771,-0.28416213393211365,362.0
-0.057405710220336914,0.003613752080127597,0.9983444213867188,-0.284162312746048,367.0
-0.05502823367714882,0.001987576950341463,0.9984827637672424,-0.28209272027015686,342.0
-0.05516510084271431,0.001662897877395153,0.9984759092330933,-0.28208160400390625,344.0
-0.05514337867498398,0.0026431167498230934,0.9984750151634216,-0.28209635615348816,344.0
-0.055149395018815994,0.0012923922622576356,0.9984772205352783,-0.2820781171321869,344.0
-0.05523761734366417,0.0023195610847324133,0.9984706044197083,-0.2820858657360077,348.0
-0.055163443088531494,0.0016096994513645768,0.9984760284423828,-0.28210240602493286,348.0
-0.0552215576171875,0.002310030395165086,0.9984713792800903,-0.2821008265018463,343.0
-0.055144116282463074,0.0018995695281773806,0.9984765648841858,-0.2820702791213989,343.0
-0.054910216480493546,0.0015436919638887048,0.9984900951385498,-0.2821117639541626,342.0
-0.05537310987710953,0.0019446482183411717,0.9984638094902039,-0.2820899784564972,350.0
-0.05501822009682655,0.0019074758747592568,0.9984834790229797,-0.28209826350212097,343.0
-0.055152229964733124,0.0010612361365929246,0.9984773993492126,-0.2820843756198883,349.0
-0.05499246343970299,0.0017023480031639338,0.9984853267669678,-0.28211191296577454,347.0
-0.05502430349588394,0.0018454920500516891,0.9984833002090454,-0.2820836305618286,341.0
-0.055022552609443665,0.0021175798028707504,0.998482882976532,-0.2821063995361328,346.0
-0.055178139358758926,0.0013550794683396816,0.9984756112098694,-0.28209415078163147,348.0
-0.05512320622801781,0.0016074194572865963,0.9984782338142395,-0.2821104824542999,345.0
-0.05516666918992996,0.0022762338630855083,0.9984745383262634,-0.2821105420589447,345.0
-0.05512133985757828,0.0021775218192487955,0.9984772801399231,-0.2821163535118103,349.0
-0.055126484483480453,0.002114310394972563,0.9984771609306335,-0.2821059226989746,344.0
-0.05563151091337204,0.0005084113217890263,0.9984511733055115,-0.28173011541366577,351.0
-0.055556707084178925,0.0015644405502825975,0.9984542727470398,-0.28173336386680603,345.0
-0.05550134927034378,0.0015098575968295336,0.9984574913978577,-0.2817038297653198,342.0
-0.05557572469115257,0.0018720675725489855,0.9984526634216309,-0.2817244529724121,342.0
-0.055355168879032135,0.0015902124578133225,0.9984654784202576,-0.2817484736442566,344.0
-0.05540379509329796,0.0011502912966534495,0.9984633922576904,-0.2817104458808899,342.0
-0.05548711493611336,0.0014918192755430937,0.9984582662582397,-0.2817074954509735,344.0
-0.0553351528942585,0.0019445429788902402,0.998465895652771,-0.281744122505188,344.0
-0.05546175315976143,0.0017831424484029412,0.9984591603279114,-0.28169751167297363,341.0
