a,b,c,d,n
-0.09955023974180222,-0.006875128950923681,0.9950088262557983,-0.3725777566432953,584.0
-0.09656723588705063,-0.003496617777273059,0.9953203201293945,-0.37239909172058105,598.0
-0.0973609983921051,-0.0074401251040399075,0.9952212572097778,-0.3725247085094452,581.0
-0.09639434516429901,-0.003774783806875348,0.9953360557556152,-0.3724251985549927,602.0
-0.09639259427785873,-0.004866308066993952,0.9953315258026123,-0.37252217531204224,595.0
-0.09664186090230942,-0.006041709333658218,0.995300829410553,-0.37242135405540466,594.0
-0.09889207780361176,-0.0065725273452699184,0.9950764179229736,-0.37255245447158813,582.0
-0.09884022176265717,-0.005609801970422268,0.9950875043869019,-0.3724803924560547,585.0
-0.10022289305925369,-0.0075643714517354965,0.9949362277984619,-0.3725278973579407,592.0
-0.09785127639770508,-0.004309973679482937,0.995191752910614,-0.3724807798862457,589.0
-0.096993088722229,-0.004733969457447529,0.9952738285064697,-0.37243661284446716,586.0
-0.09925173968076706,-0.0074767195619642735,0.9950342774391174,-0.37256962060928345,587.0
-0.1025754064321518,-0.008945886977016926,0.9946850538253784,-0.3725859522819519,602.0
-0.09965530037879944,-0.006220411974936724,0.9950025677680969,-0.372624009847641,587.0
-0.09935996681451797,-0.00644269771873951,0.9950306415557861,-0.3725515902042389,592.0
-0.09773267060518265,-0.007214552257210016,0.9951865673065186,-0.37248796224594116,581.0
-0.0963435247540474,-0.005085732322186232,0.9953351616859436,-0.3724502921104431,598.0
-0.08853374421596527,-0.0029519042000174522,0.9960687756538391,-0.3708866536617279,590.0
-0.08972485363483429,-0.005136124789714813,0.9959533214569092,-0.3708333671092987,589.0
-0.0878656804561615,-0.0033047425094991922,0.9961268305778503,-0.3708130717277527,601.0
-0.0892266109585762,-0.004970002453774214,0.9959989190101624,-0.3709719181060791,585.0
-0.0893026664853096,-0.004538825247436762,0.9959942102432251,-0.3708730638027191,583.0
-0.09231087565422058,-0.008636758662760258,0.995692789554596,-0.37099507451057434,586.0
-0.08781934529542923,-0.0038519809022545815,0.996129035949707,-0.3708697259426117,583.0
-0.08883818984031677,-0.007063212338835001,0.996021032333374,-0.3708646893501282,585.0
-0.0892384871840477,-0.004282290581613779,0.996001124382019,-0.370976984500885,603.0
-0.08886704593896866,-0.006227364297956228,0.996023952960968,-0.37085720896720886,596.0
-0.08953885734081268,-0.006235664244741201,0.9959638118743896,-0.3708653748035431,592.0
-0.091002456843853,-0.008044644258916378,0.9958181381225586,-0.3708791434764862,586.0
-0.08642031252384186,-0.0011839147191494703,0.9962580800056458,-0.37085118889808655,575.0
-0.08713499456644058,-0.007067461032420397,0.9961715340614319,-0.3707869350910187,583.0
-0.08937075734138489,-0.005695204250514507,0.9959821701049805,-0.37091735005378723,584.0
-0.08798664808273315,-0.004489014856517315,0.9961115717887878,-0.3707902729511261,581.0
-0.08829425275325775,-0.002657027915120125,0.9960908889770508,-0.37088659405708313,586.0
-0.09005078673362732,-0.005604230333119631,0.9959214329719543,-0.37084975838661194,589.0
-0.09005990624427795,-0.009621905162930489,0.9958899021148682,-0.37088364362716675,588.0
-0.0885656327009201,-0.003422912210226059,0.9960644245147705,-0.3708365857601166,592.0
-0.08776379376649857,-0.004401897545903921,0.9961315393447876,-0.3719022870063782,591.0
-0.0884142518043518,-0.00462160212919116,0.9960730671882629,-0.37182894349098206,598.0
-0.08683609962463379,-0.0090834004804492,0.9961811900138855,-0.37179967761039734,600.0
-0.08769707381725311,-0.006217835936695337,0.9961278438568115,-0.37181124091148376,593.0
-0.08812598884105682,-0.004962792154401541,0.9960969686508179,-0.3719184100627899,593.0
-0.08856309205293655,-0.006940705236047506,0.9960463643074036,-0.3718101680278778,600.0
-0.08859550952911377,-0.005779383238404989,0.9960509538650513,-0.37183600664138794,590.0
-0.08919412642717361,-0.005184022244066,0.9960007667541504,-0.3718535304069519,594.0
-0.08610133081674576,-0.007151026278734207,0.9962607026100159,-0.37179940938949585,601.0
-0.0886826291680336,-0.0046727778390049934,0.9960489869117737,-0.37190866470336914,599.0
-0.08848784118890762,-0.009350788779556751,0.9960333704948425,-0.37177127599716187,598.0
-0.0883692055940628,-0.0048793163150548935,0.9960758090019226,-0.3719330132007599,592.0
-0.08934813737869263,-0.007448639255017042,0.9959725141525269,-0.37181970477104187,594.0
-0.08540352433919907,-0.009610145352780819,0.9963001012802124,-0.37158316373825073,607.0
-0.0880315750837326,-0.005485970061272383,0.9961025714874268,-0.3718937039375305,594.0
-0.08809997886419296,-0.006866545416414738,0.9960879683494568,-0.3718360662460327,592.0
-0.08807037770748138,-0.006684096064418554,0.9960918426513672,-0.3717971444129944,587.0
-0.08995010703802109,-0.008323105983436108,0.9959114789962769,-0.3718719184398651,601.0
-0.08828802406787872,-0.0055036782287061214,0.996079683303833,-0.37181177735328674,600.0
-0.08837331831455231,-0.006197288166731596,0.9960681796073914,-0.3718187212944031,606.0
-0.09370391070842743,-0.005639420822262764,0.9955841302871704,-0.37097033858299255,594.0
-0.0948425754904747,-0.006707239896059036,0.9954697489738464,-0.3710487484931946,603.0
-0.09689957648515701,-0.0036894872318953276,0.995287299156189,-0.370931476354599,597.0
-0.09546487778425217,-0.006301123648881912,0.9954127669334412,-0.37101981043815613,596.0
-0.09469588845968246,-0.006451610010117292,0.9954853653907776,-0.3710009753704071,591.0
-0.0947677493095398,-0.006382270250469446,0.9954789280891418,-0.3709227740764618,596.0
-0.09476824104785919,-0.005783502943813801,0.9954826235771179,-0.37105563282966614,601.0
-0.09507887065410614,-0.005358953028917313,0.9954553246498108,-0.3709430396556854,596.0
-0.09513745456933975,-0.006438022013753653,0.9954432845115662,-0.37096452713012695,591.0
-0.09470133483409882,-0.007141647394746542,0.9954801201820374,-0.3710446059703827,599.0
-0.09456153213977814,-0.007991786114871502,0.9954869151115417,-0.37097957730293274,593.0
-0.09531445056200027,-0.005429900251328945,0.9954323768615723,-0.3709936738014221,599.0
-0.09450119733810425,-0.006595971994102001,0.9955028891563416,-0.37090805172920227,585.0
-0.09430636465549469,-0.008489185944199562,0.995507001876831,-0.37087398767471313,599.0
-0.09598951041698456,-0.005199429113417864,0.9953687787055969,-0.3709571361541748,597.0
-0.09558608382940292,-0.00632289657369256,0.9954010248184204,-0.3710085451602936,597.0
-0.09497896581888199,-0.005182109773159027,0.9954658150672913,-0.3710128962993622,593.0
-0.09778868407011032,-0.00783610064536333,0.9951763153076172,-0.37112340331077576,598.0
-0.0963682234287262,-0.0072159962728619576,0.9953195452690125,-0.37110087275505066,593.0
-0.09708883613348007,-0.008799795061349869,0.995236873626709,-0.37096458673477173,594.0
-0.08246719092130661,-0.00129137618932873,0.9965929388999939,-0.37084901332855225,593.0
-0.08415766805410385,-0.00484452536329627,0.9964407086372375,-0.37090155482292175,588.0
-0.0844731256365776,-0.005471078213304281,0.9964107871055603,-0.3707147538661957,593.0
-0.08239823579788208,-0.0010664871660992503,0.9965988993644714,-0.37082698941230774,581.0
