x1,y1,theta1,x2,y2,theta2,x3,y3,theta3,x4,y4,theta4
500.0,500.0,1.5707963267948966,109.8853181607096,203.07241456589585,1.5795100592374109,109.78409225659775,200.49702896767323,1.5792404310894663,109.78409225659773,200.4970289676732,1.511742733462716
500.0,500.0,1.5707963267948966,107.83113822802916,204.9332251728803,1.5785654456374907,107.80175439198659,202.33942190532127,1.5782902706530018,107.80175439198659,202.33942190532125,1.513732826665976
500.0,500.0,1.5707963267948966,107.46083111464537,205.02442213486148,1.5787551958586512,107.43784495640236,202.4222122519119,1.5784768918306362,107.43784495640237,202.4222122519119,1.5134556698187887
500.0,500.0,1.5707963267948966,107.6285477035626,205.22165632412026,1.5786234907739634,107.66664953003647,202.6789100103255,1.5783541264178362,107.66664953003647,202.67891001032544,1.5210738991531303
500.0,500.0,1.5707963267948966,106.36701412264874,205.13970281410647,1.5775288449373499,106.4126264094178,202.59405466507863,1.5772577175967641,106.41262640941778,202.59405466507866,1.5183288513968867
500.0,500.0,1.5707963267948966,104.19179301744521,205.85295962817059,1.5783428094961414,104.33592534807342,203.31644976962281,1.5780611455346407,104.33592534807342,203.31644976962278,1.5236682151781824
500.0,500.0,1.5707963267948966,102.17285631634009,206.50860008051498,1.5785688467100618,102.34606480261571,203.92913041448529,1.578273151479501,102.34606480261573,203.92913041448529,1.521579165188
500.0,500.0,1.5707963267948966,101.29262268284766,206.79842668809866,1.5786105878253509,101.39594678023479,204.12155308157111,1.5783008959966163,101.39594678023479,204.12155308157114,1.5103122256130694
500.0,500.0,1.5707963267948966,101.67233401594002,206.28472816027144,1.5787479041620149,101.85530366482176,203.70631525484632,1.5784495925798168,101.85530366482176,203.70631525484634,1.521704675712934
500.0,500.0,1.5707963267948966,101.19288990624526,205.77637720998874,1.5782502876030557,101.45471503971307,203.28525500165915,1.5779612829536571,101.45471503971304,203.28525500165915,1.5294106410025732
500.0,500.0,1.5707963267948966,99.247327385315458,208.77314525238066,1.5794699477456873,99.557278583298356,206.17481425549036,1.5791723964822535,99.557278583298356,206.17481425549036,1.5287744252484083
500.0,500.0,1.5707963267948966,98.801153179059682,207.82427890612954,1.5787642968311197,99.05185350239195,205.19749946759683,1.5784622877424497,99.05185350239195,205.19749946759683,1.5207621252126997
500.0,500.0,1.5707963267948966,98.104332780856282,207.09441322732249,1.5791394841686244,98.298006310795515,204.41175865717892,1.5788249872783811,98.298006310795515,204.41175865717892,1.5120139899971006
500.0,500.0,1.5707963267948966,97.335627565072599,206.40287227851826,1.578843482308693,97.426348226215268,203.63363674173013,1.578492243745695,97.426348226215268,203.63363674173016,1.4986651291894526
500.0,500.0,1.5707963267948966,96.320088752620379,205.85331679250297,1.5791453157339808,96.420242086090113,203.0843576785378,1.5787899097107432,96.420242086090099,203.0843576785378,1.4960922997355695
500.0,500.0,1.5707963267948966,94.52330819164591,205.33035767047019,1.5800742035932402,94.629650228436759,202.53579444940749,1.5797047939217428,94.629650228436759,202.53579444940746,1.4911760949390054
500.0,500.0,1.5707963267948966,94.219879938874186,204.95422202020401,1.5794970148565641,94.302262849151887,202.15413892063282,1.5791277066211391,94.302262849151901,202.15413892063279,1.4882234688503608
500.0,500.0,1.5707963267948966,95.82316755174412,203.39463639234535,1.5793048510529788,95.944205615396783,200.70092182924736,1.578963708825047,95.944205615396783,200.70092182924736,1.4970355044112269
500.0,500.0,1.5707963267948966,94.583015605030738,204.35628403370842,1.5794040000914893,94.742763909939057,201.64029821016123,1.579053108255418,94.742763909939057,201.64029821016123,1.4985121632329592
500.0,500.0,1.5707963267948966,94.571632439233341,203.46234362906191,1.5794941842198376,94.671383307985195,200.72485047234682,1.5791390804206735,94.671383307985195,200.72485047234684,1.4922155975786102
500.0,500.0,1.5707963267948966,95.094864508974155,203.42046809638006,1.5795629107625677,95.286908539374394,200.766032252797,1.5792354291654362,95.286908539374394,200.76603225279703,1.5034885332578813
