u1,v1,u2,v2,u3,v3,u4,v4
0.878787584658412,0.44811838054680481,0.878787584658412,-0.36901682249064593,-1.5465617112753922,-0.36901682249064593,-1.5465617112753922,0.44811838054680481
1.0292230360816406,0.44811838054680481,1.0292230360816406,-0.36901682249064593,-1.4776367667110282,-0.36901682249064593,-1.4776367667110282,0.44811838054680481
1.1592746032560828,0.44811838054680481,1.1592746032560828,-0.36901682249064593,-1.3983453830624795,-0.36901682249064593,-1.3983453830624795,0.44811838054680481
1.2712856676629614,0.44811838054680481,1.2712856676629614,-0.36901682249064593,-1.3066979301427881,-0.36901682249064593,-1.3066979301427881,0.44811838054680481
1.3677856984715695,0.44811838054680481,1.3677856984715695,-0.36901682249064593,-1.2004006747810516,-0.36901682249064593,-1.2004006747810516,0.44811838054680481
1.4511590438377455,0.44811838054680481,1.4511590438377455,-0.36901682249064593,-1.0769492064390418,-0.36901682249064593,-1.0769492064390418,0.44811838054680481
1.5235059102539084,0.44811838054680481,1.5235059102539084,-0.36901682249064593,-0.93388110201027419,-0.36901682249064593,-0.93388110201027419,0.44811838054680481
1.5866100586183232,0.44811838054680481,1.5866100586183232,-0.36901682249064593,-0.76928530345946389,-0.36901682249064593,-0.76928530345946389,0.44811838054680481
1.6419572677547396,0.44811838054680481,1.6419572677547396,-0.36901682249064593,-0.58263404402742647,-0.36901682249064593,-0.58263404402742647,0.44811838054680481
1.6907732831331732,0.44811838054680481,1.6907732831331732,-0.36901682249064593,-0.37583520107220325,-0.36901682249064593,-0.37583520107220325,0.44811838054680481
1.7340656621692081,0.44811838054680481,1.7340656621692081,-0.36901682249064593,-0.15406225975903917,-0.36901682249064593,-0.15406225975903917,0.44811838054680481
