u1,v1,u2,v2,u3,v3,u4,v4
-0.0273418879891674,0.30897133786027775,-0.0273418879891674,-0.25357313686135502,-2.5171785012402035,-3.9205675709628167,-2.5171785012402035,3.7632967050973201
0.26220935473899204,0.31405006072064562,0.26220935473899204,-0.25776747268220912,-2.2546615376243491,-1.7131585634592141,-2.2546615376243491,1.8853097282210756
0.5519328001416991,0.33015549978896147,0.5519328001416991,-0.27107695967577256,-1.9885472993435307,-0.83055944061369402,-1.9885472993435307,0.98444048183813637
0.8409395602819365,0.36027982787492879,0.8409395602819365,-0.29600852033392433,-1.7186668175494435,-0.54154858885030888,-1.7186668175494435,0.65291996789335394
1.1283860925232778,0.41103527288800318,1.1283860925232778,-0.33813412308550694,-1.4449639652879798,-0.40975222328856969,-1.4449639652879798,0.49685280830498135
1.4135244781415384,0.49685280830498135,1.4135244781415384,-0.40975222328856969,-1.1675174030654665,-0.33813412308550694,-1.1675174030654665,0.41103527288800318
1.6957406079602018,0.65291996789335394,1.6957406079602018,-0.54154858885030888,-0.88655859594081299,-0.29600852033392433,-0.88655859594081299,0.36027982787492879
1.9745769918140741,0.98444048183813637,1.9745769918140741,-0.83055944061369402,-0.60248194350749529,-0.27107695967577256,-0.60248194350749529,0.33015549978896147
2.2497400026803884,1.8853097282210751,2.2497400026803884,-1.7131585634592137,-0.31584301773461443,-0.25776747268220912,-0.31584301773461443,0.31405006072064562
2.5210938837877226,3.7632967050973209,2.5210938837877226,-3.9205675709628176,-0.0273418879891674,-0.25357313686135652,-0.0273418879891674,0.30897133786027775
